Axle Type,Shoulders,P (kN),delT (degreeC),k (MPa/m),h (m),l (m),S (MPa)
Single,with concrete shoulders,80,0,40,0.15,0.6815681023904547,3.111069199753712
Single,with concrete shoulders,80,0,40,0.2,0.845694117191406,1.648150453202039
Single,with concrete shoulders,80,0,40,0.25,0.9997601438964008,0.9595226664257173
Single,with concrete shoulders,80,0,40,0.3,1.14625634810282,0.5767058119302931
Single,with concrete shoulders,80,0,40,0.35,1.286743094084692,0.3389404016634809
Single,with concrete shoulders,80,0,40,0.4,1.4222823030948162,0.17894360161990702
Single,with concrete shoulders,80,0,80,0.15,0.57312817405141,3.1631617948540356
Single,with concrete shoulders,80,0,80,0.2,0.7111411515474081,1.7083018008099533
Single,with concrete shoulders,80,0,80,0.25,0.8406947211160212,1.026773917520476
Single,with concrete shoulders,80,0,80,0.3,0.9638828540814753,0.6503758664203796
Single,with concrete shoulders,80,0,80,0.35,1.0820176551682907,0.418513155061452
Single,with concrete shoulders,80,0,80,0.4,1.195992090151228,0.26401045320203875
Single,with concrete shoulders,80,0,150,0.15,0.48978044354353356,2.840144693180732
Single,with concrete shoulders,80,0,150,0.2,0.6077227475397252,1.5464637349248145
Single,with concrete shoulders,80,0,150,0.25,0.7184358613575632,0.938267108382005
Single,with concrete shoulders,80,0,150,0.3,0.8237092384742634,0.6007365266370471
Single,with concrete shoulders,80,0,150,0.35,0.9246641694894633,0.3915427628049454
Single,with concrete shoulders,80,0,150,0.4,1.0220637597485862,0.2511255405876368
Single,with concrete shoulders,80,0,300,0.15,0.4118546192371317,2.328754114828971
Single,with concrete shoulders,80,0,300,0.2,0.5110318798742931,1.3487858430177664
Single,with concrete shoulders,80,0,300,0.25,0.6041301404052896,0.8974384102031299
Single,with concrete shoulders,80,0,300,0.3,0.6926541458443751,0.6539634663694226
Single,with concrete shoulders,80,0,300,0.35,0.7775467854372428,0.5085054240842439
Single,with concrete shoulders,80,0,300,0.4,0.8594497517333199,0.4152019529561512
Single,with concrete shoulders,80,10,40,0.15,0.6815681023904547,3.377069199753712
Single,with concrete shoulders,80,10,40,0.2,0.845694117191406,1.914150453202039
Single,with concrete shoulders,80,10,40,0.25,0.9997601438964008,1.2255226664257173
Single,with concrete shoulders,80,10,40,0.3,1.14625634810282,0.8427058119302931
Single,with concrete shoulders,80,10,40,0.35,1.286743094084692,0.604940401663481
Single,with concrete shoulders,80,10,40,0.4,1.4222823030948162,0.44494360161990704
Single,with concrete shoulders,80,10,80,0.15,0.57312817405141,3.4291617948540356
Single,with concrete shoulders,80,10,80,0.2,0.7111411515474081,1.9743018008099533
Single,with concrete shoulders,80,10,80,0.25,0.8406947211160212,1.292773917520476
Single,with concrete shoulders,80,10,80,0.3,0.9638828540814753,0.9163758664203796
Single,with concrete shoulders,80,10,80,0.35,1.0820176551682907,0.684513155061452
Single,with concrete shoulders,80,10,80,0.4,1.195992090151228,0.5300104532020388
Single,with concrete shoulders,80,10,150,0.15,0.48978044354353356,3.2491446931807317
Single,with concrete shoulders,80,10,150,0.2,0.6077227475397252,1.9554637349248145
Single,with concrete shoulders,80,10,150,0.25,0.7184358613575632,1.347267108382005
Single,with concrete shoulders,80,10,150,0.3,0.8237092384742634,1.009736526637047
Single,with concrete shoulders,80,10,150,0.35,0.9246641694894633,0.8005427628049453
Single,with concrete shoulders,80,10,150,0.4,1.0220637597485862,0.6601255405876367
Single,with concrete shoulders,80,10,300,0.15,0.4118546192371317,2.8507541148289715
Single,with concrete shoulders,80,10,300,0.2,0.5110318798742931,1.8707858430177664
Single,with concrete shoulders,80,10,300,0.25,0.6041301404052896,1.4194384102031299
Single,with concrete shoulders,80,10,300,0.3,0.6926541458443751,1.1759634663694225
Single,with concrete shoulders,80,10,300,0.35,0.7775467854372428,1.030505424084244
Single,with concrete shoulders,80,10,300,0.4,0.8594497517333199,0.9372019529561513
Single,with concrete shoulders,80,15,40,0.15,0.6815681023904547,3.510069199753712
Single,with concrete shoulders,80,15,40,0.2,0.845694117191406,2.047150453202039
Single,with concrete shoulders,80,15,40,0.25,0.9997601438964008,1.3585226664257173
Single,with concrete shoulders,80,15,40,0.3,1.14625634810282,0.975705811930293
Single,with concrete shoulders,80,15,40,0.35,1.286743094084692,0.7379404016634808
Single,with concrete shoulders,80,15,40,0.4,1.4222823030948162,0.577943601619907
Single,with concrete shoulders,80,15,80,0.15,0.57312817405141,3.5621617948540356
Single,with concrete shoulders,80,15,80,0.2,0.7111411515474081,2.107301800809953
Single,with concrete shoulders,80,15,80,0.25,0.8406947211160212,1.425773917520476
Single,with concrete shoulders,80,15,80,0.3,0.9638828540814753,1.0493758664203796
Single,with concrete shoulders,80,15,80,0.35,1.0820176551682907,0.817513155061452
Single,with concrete shoulders,80,15,80,0.4,1.195992090151228,0.6630104532020387
Single,with concrete shoulders,80,15,150,0.15,0.48978044354353356,3.453644693180732
Single,with concrete shoulders,80,15,150,0.2,0.6077227475397252,2.1599637349248146
Single,with concrete shoulders,80,15,150,0.25,0.7184358613575632,1.551767108382005
Single,with concrete shoulders,80,15,150,0.3,0.8237092384742634,1.214236526637047
Single,with concrete shoulders,80,15,150,0.35,0.9246641694894633,1.0050427628049454
Single,with concrete shoulders,80,15,150,0.4,1.0220637597485862,0.8646255405876367
Single,with concrete shoulders,80,15,300,0.15,0.4118546192371317,3.111754114828971
Single,with concrete shoulders,80,15,300,0.2,0.5110318798742931,2.1317858430177665
Single,with concrete shoulders,80,15,300,0.25,0.6041301404052896,1.6804384102031298
Single,with concrete shoulders,80,15,300,0.3,0.6926541458443751,1.4369634663694226
Single,with concrete shoulders,80,15,300,0.35,0.7775467854372428,1.291505424084244
Single,with concrete shoulders,80,15,300,0.4,0.8594497517333199,1.1982019529561512
Single,with concrete shoulders,80,20,40,0.15,0.6815681023904547,3.643069199753712
Single,with concrete shoulders,80,20,40,0.2,0.845694117191406,2.180150453202039
Single,with concrete shoulders,80,20,40,0.25,0.9997601438964008,1.4915226664257173
Single,with concrete shoulders,80,20,40,0.3,1.14625634810282,1.1087058119302933
Single,with concrete shoulders,80,20,40,0.35,1.286743094084692,0.870940401663481
Single,with concrete shoulders,80,20,40,0.4,1.4222823030948162,0.7109436016199071
Single,with concrete shoulders,80,20,80,0.15,0.57312817405141,3.6951617948540356
Single,with concrete shoulders,80,20,80,0.2,0.7111411515474081,2.240301800809953
Single,with concrete shoulders,80,20,80,0.25,0.8406947211160212,1.558773917520476
Single,with concrete shoulders,80,20,80,0.3,0.9638828540814753,1.1823758664203796
Single,with concrete shoulders,80,20,80,0.35,1.0820176551682907,0.9505131550614521
Single,with concrete shoulders,80,20,80,0.4,1.195992090151228,0.7960104532020388
Single,with concrete shoulders,80,20,150,0.15,0.48978044354353356,3.658144693180732
Single,with concrete shoulders,80,20,150,0.2,0.6077227475397252,2.3644637349248145
Single,with concrete shoulders,80,20,150,0.25,0.7184358613575632,1.756267108382005
Single,with concrete shoulders,80,20,150,0.3,0.8237092384742634,1.418736526637047
Single,with concrete shoulders,80,20,150,0.35,0.9246641694894633,1.2095427628049453
Single,with concrete shoulders,80,20,150,0.4,1.0220637597485862,1.0691255405876368
Single,with concrete shoulders,80,20,300,0.15,0.4118546192371317,3.3727541148289713
Single,with concrete shoulders,80,20,300,0.2,0.5110318798742931,2.3927858430177666
Single,with concrete shoulders,80,20,300,0.25,0.6041301404052896,1.94143841020313
Single,with concrete shoulders,80,20,300,0.3,0.6926541458443751,1.6979634663694227
Single,with concrete shoulders,80,20,300,0.35,0.7775467854372428,1.552505424084244
Single,with concrete shoulders,80,20,300,0.4,0.8594497517333199,1.4592019529561513
Single,with concrete shoulders,120,0,40,0.15,0.6815681023904547,4.751531421975934
Single,with concrete shoulders,120,0,40,0.2,0.845694117191406,2.570910453202039
Single,with concrete shoulders,120,0,40,0.25,0.9997601438964008,1.5500890664257174
Single,with concrete shoulders,120,0,40,0.3,1.14625634810282,0.9868213674858487
Single,with concrete shoulders,120,0,40,0.35,1.286743094084692,0.6402497894185832
Single,with concrete shoulders,120,0,40,0.4,1.4222823030948162,0.40963360161990703
Single,with concrete shoulders,120,0,80,0.15,0.57312817405141,4.803624017076258
Single,with concrete shoulders,120,0,80,0.2,0.7111411515474081,2.6310618008099533
Single,with concrete shoulders,120,0,80,0.25,0.8406947211160212,1.6173403175204761
Single,with concrete shoulders,120,0,80,0.3,0.9638828540814753,1.0604914219759352
Single,with concrete shoulders,120,0,80,0.35,1.0820176551682907,0.7198225428165541
Single,with concrete shoulders,120,0,80,0.4,1.195992090151228,0.49470045320203876
Single,with concrete shoulders,120,0,150,0.15,0.48978044354353356,4.292926915402954
Single,with concrete shoulders,120,0,150,0.2,0.6077227475397252,2.3636537349248146
Single,with concrete shoulders,120,0,150,0.25,0.7184358613575632,1.461268708382005
Single,with concrete shoulders,120,0,150,0.3,0.8237092384742634,0.9639320821926027
Single,with concrete shoulders,120,0,150,0.35,0.9246641694894633,0.6583803138253536
Single,with concrete shoulders,120,0,150,0.4,1.0220637597485862,0.45542304058763683
Single,with concrete shoulders,120,0,300,0.15,0.4118546192371317,3.4548341148289716
Single,with concrete shoulders,120,0,300,0.2,0.5110318798742931,1.9822058430177665
Single,with concrete shoulders,120,0,300,0.25,0.6041301404052896,1.3028272102031297
Single,with concrete shoulders,120,0,300,0.3,0.6926541458443751,0.9354834663694227
Single,with concrete shoulders,120,0,300,0.35,0.7775467854372428,0.7153364444924072
Single,with concrete shoulders,120,0,300,0.4,0.8594497517333199,0.5735569529561512
Single,with concrete shoulders,120,10,40,0.15,0.6815681023904547,5.017531421975934
