Axle Type,Shoulder,P(kN),del T (C),k (MPa/m),h (m),l (m),S (kN)
Single,with concrete shoulders,80,0,40,0.15,0.6816,3.1111
Single,with concrete shoulders,80,0,40,0.2,0.8457,1.6482
Single,with concrete shoulders,80,0,40,0.25,0.9998,0.9595
Single,with concrete shoulders,80,0,40,0.3,1.1463,0.5767
Single,with concrete shoulders,80,0,40,0.35,1.2867,0.3389
Single,with concrete shoulders,80,0,40,0.4,1.4223,0.1789
Single,with concrete shoulders,80,0,80,0.15,0.5731,3.1632
Single,with concrete shoulders,80,0,80,0.2,0.7111,1.7083
Single,with concrete shoulders,80,0,80,0.25,0.8407,1.0268
Single,with concrete shoulders,80,0,80,0.3,0.9639,0.6504
Single,with concrete shoulders,80,0,80,0.35,1.082,0.4185
Single,with concrete shoulders,80,0,80,0.4,1.196,0.264
Single,with concrete shoulders,80,0,150,0.15,0.4898,2.8401
Single,with concrete shoulders,80,0,150,0.2,0.6077,1.5465
Single,with concrete shoulders,80,0,150,0.25,0.7184,0.9383
Single,with concrete shoulders,80,0,150,0.3,0.8237,0.6007
Single,with concrete shoulders,80,0,150,0.35,0.9247,0.3915
Single,with concrete shoulders,80,0,150,0.4,1.0221,0.2511
Single,with concrete shoulders,80,0,300,0.15,0.4119,2.3288
Single,with concrete shoulders,80,0,300,0.2,0.511,1.3488
Single,with concrete shoulders,80,0,300,0.25,0.6041,0.8974
Single,with concrete shoulders,80,0,300,0.3,0.6927,0.654
Single,with concrete shoulders,80,0,300,0.35,0.7775,0.5085
Single,with concrete shoulders,80,0,300,0.4,0.8594,0.4152
Single,with concrete shoulders,80,8,40,0.15,0.6816,3.3239
Single,with concrete shoulders,80,8,40,0.2,0.8457,1.861
Single,with concrete shoulders,80,8,40,0.25,0.9998,1.1723
Single,with concrete shoulders,80,8,40,0.3,1.1463,0.7895
Single,with concrete shoulders,80,8,40,0.35,1.2867,0.5517
Single,with concrete shoulders,80,8,40,0.4,1.4223,0.3917
Single,with concrete shoulders,80,8,80,0.15,0.5731,3.376
Single,with concrete shoulders,80,8,80,0.2,0.7111,1.9211
Single,with concrete shoulders,80,8,80,0.25,0.8407,1.2396
Single,with concrete shoulders,80,8,80,0.3,0.9639,0.8632
Single,with concrete shoulders,80,8,80,0.35,1.082,0.6313
Single,with concrete shoulders,80,8,80,0.4,1.196,0.4768
Single,with concrete shoulders,80,8,150,0.15,0.4898,3.1673
Single,with concrete shoulders,80,8,150,0.2,0.6077,1.8737
Single,with concrete shoulders,80,8,150,0.25,0.7184,1.2655
Single,with concrete shoulders,80,8,150,0.3,0.8237,0.9279
Single,with concrete shoulders,80,8,150,0.35,0.9247,0.7187
Single,with concrete shoulders,80,8,150,0.4,1.0221,0.5783
Single,with concrete shoulders,80,8,300,0.15,0.4119,2.7464
Single,with concrete shoulders,80,8,300,0.2,0.511,1.7664
Single,with concrete shoulders,80,8,300,0.25,0.6041,1.315
Single,with concrete shoulders,80,8,300,0.3,0.6927,1.0716
Single,with concrete shoulders,80,8,300,0.35,0.7775,0.9261
Single,with concrete shoulders,80,8,300,0.4,0.8594,0.8328
Single,with concrete shoulders,80,13,40,0.15,0.6816,3.4569
Single,with concrete shoulders,80,13,40,0.2,0.8457,1.994
Single,with concrete shoulders,80,13,40,0.25,0.9998,1.3053
Single,with concrete shoulders,80,13,40,0.3,1.1463,0.9225
Single,with concrete shoulders,80,13,40,0.35,1.2867,0.6847
Single,with concrete shoulders,80,13,40,0.4,1.4223,0.5247
Single,with concrete shoulders,80,13,80,0.15,0.5731,3.509
Single,with concrete shoulders,80,13,80,0.2,0.7111,2.0541
Single,with concrete shoulders,80,13,80,0.25,0.8407,1.3726
Single,with concrete shoulders,80,13,80,0.3,0.9639,0.9962
Single,with concrete shoulders,80,13,80,0.35,1.082,0.7643
Single,with concrete shoulders,80,13,80,0.4,1.196,0.6098
Single,with concrete shoulders,80,13,150,0.15,0.4898,3.3718
Single,with concrete shoulders,80,13,150,0.2,0.6077,2.0782
Single,with concrete shoulders,80,13,150,0.25,0.7184,1.47
Single,with concrete shoulders,80,13,150,0.3,0.8237,1.1324
Single,with concrete shoulders,80,13,150,0.35,0.9247,0.9232
Single,with concrete shoulders,80,13,150,0.4,1.0221,0.7828
Single,with concrete shoulders,80,13,300,0.15,0.4119,3.0074
Single,with concrete shoulders,80,13,300,0.2,0.511,2.0274
Single,with concrete shoulders,80,13,300,0.25,0.6041,1.576
Single,with concrete shoulders,80,13,300,0.3,0.6927,1.3326
Single,with concrete shoulders,80,13,300,0.35,0.7775,1.1871
Single,with concrete shoulders,80,13,300,0.4,0.8594,1.0938
Single,with concrete shoulders,80,17,40,0.15,0.6816,3.5633
Single,with concrete shoulders,80,17,40,0.2,0.8457,2.1004
Single,with concrete shoulders,80,17,40,0.25,0.9998,1.4117
Single,with concrete shoulders,80,17,40,0.3,1.1463,1.0289
