Axle Type,Shoulder,P(kN),del T (C),k (MPa/m),h (m),l (m),S (kN)
Single,with concrete shoulders,80,0,40,0.15,0.6816,3.1111
Single,with concrete shoulders,80,0,40,0.2,0.8457,1.6482
Single,with concrete shoulders,80,0,40,0.25,0.9998,0.9595
Single,with concrete shoulders,80,0,40,0.3,1.1463,0.5767
Single,with concrete shoulders,80,0,40,0.35,1.2867,0.3389
Single,with concrete shoulders,80,0,40,0.4,1.4223,0.1789
Single,with concrete shoulders,80,0,80,0.15,0.5731,3.1632
Single,with concrete shoulders,80,0,80,0.2,0.7111,1.7083
Single,with concrete shoulders,80,0,80,0.25,0.8407,1.0268
Single,with concrete shoulders,80,0,80,0.3,0.9639,0.6504
Single,with concrete shoulders,80,0,80,0.35,1.082,0.4185
Single,with concrete shoulders,80,0,80,0.4,1.196,0.264
Single,with concrete shoulders,80,0,150,0.15,0.4898,2.8401
Single,with concrete shoulders,80,0,150,0.2,0.6077,1.5465
Single,with concrete shoulders,80,0,150,0.25,0.7184,0.9383
Single,with concrete shoulders,80,0,150,0.3,0.8237,0.6007
Single,with concrete shoulders,80,0,150,0.35,0.9247,0.3915
Single,with concrete shoulders,80,0,150,0.4,1.0221,0.2511
Single,with concrete shoulders,80,0,300,0.15,0.4119,2.3288
Single,with concrete shoulders,80,0,300,0.2,0.511,1.3488
Single,with concrete shoulders,80,0,300,0.25,0.6041,0.8974
Single,with concrete shoulders,80,0,300,0.3,0.6927,0.654
Single,with concrete shoulders,80,0,300,0.35,0.7775,0.5085
Single,with concrete shoulders,80,0,300,0.4,0.8594,0.4152
Single,with concrete shoulders,80,10,40,0.15,0.6816,3.3771
Single,with concrete shoulders,80,10,40,0.2,0.8457,1.9142
Single,with concrete shoulders,80,10,40,0.25,0.9998,1.2255
Single,with concrete shoulders,80,10,40,0.3,1.1463,0.8427
Single,with concrete shoulders,80,10,40,0.35,1.2867,0.6049
Single,with concrete shoulders,80,10,40,0.4,1.4223,0.4449
Single,with concrete shoulders,80,10,80,0.15,0.5731,3.4292
Single,with concrete shoulders,80,10,80,0.2,0.7111,1.9743
Single,with concrete shoulders,80,10,80,0.25,0.8407,1.2928
Single,with concrete shoulders,80,10,80,0.3,0.9639,0.9164
Single,with concrete shoulders,80,10,80,0.35,1.082,0.6845
Single,with concrete shoulders,80,10,80,0.4,1.196,0.53
Single,with concrete shoulders,80,10,150,0.15,0.4898,3.2491
Single,with concrete shoulders,80,10,150,0.2,0.6077,1.9555
Single,with concrete shoulders,80,10,150,0.25,0.7184,1.3473
Single,with concrete shoulders,80,10,150,0.3,0.8237,1.0097
Single,with concrete shoulders,80,10,150,0.35,0.9247,0.8005
Single,with concrete shoulders,80,10,150,0.4,1.0221,0.6601
Single,with concrete shoulders,80,10,300,0.15,0.4119,2.8508
Single,with concrete shoulders,80,10,300,0.2,0.511,1.8708
Single,with concrete shoulders,80,10,300,0.25,0.6041,1.4194
Single,with concrete shoulders,80,10,300,0.3,0.6927,1.176
Single,with concrete shoulders,80,10,300,0.35,0.7775,1.0305
Single,with concrete shoulders,80,10,300,0.4,0.8594,0.9372
Single,with concrete shoulders,80,15,40,0.15,0.6816,3.5101
Single,with concrete shoulders,80,15,40,0.2,0.8457,2.0472
Single,with concrete shoulders,80,15,40,0.25,0.9998,1.3585
Single,with concrete shoulders,80,15,40,0.3,1.1463,0.9757
Single,with concrete shoulders,80,15,40,0.35,1.2867,0.7379
Single,with concrete shoulders,80,15,40,0.4,1.4223,0.5779
Single,with concrete shoulders,80,15,80,0.15,0.5731,3.5622
Single,with concrete shoulders,80,15,80,0.2,0.7111,2.1073
Single,with concrete shoulders,80,15,80,0.25,0.8407,1.4258
Single,with concrete shoulders,80,15,80,0.3,0.9639,1.0494
Single,with concrete shoulders,80,15,80,0.35,1.082,0.8175
Single,with concrete shoulders,80,15,80,0.4,1.196,0.663
Single,with concrete shoulders,80,15,150,0.15,0.4898,3.4536
Single,with concrete shoulders,80,15,150,0.2,0.6077,2.16
Single,with concrete shoulders,80,15,150,0.25,0.7184,1.5518
Single,with concrete shoulders,80,15,150,0.3,0.8237,1.2142
Single,with concrete shoulders,80,15,150,0.35,0.9247,1.005
Single,with concrete shoulders,80,15,150,0.4,1.0221,0.8646
Single,with concrete shoulders,80,15,300,0.15,0.4119,3.1118
Single,with concrete shoulders,80,15,300,0.2,0.511,2.1318
Single,with concrete shoulders,80,15,300,0.25,0.6041,1.6804
Single,with concrete shoulders,80,15,300,0.3,0.6927,1.437
Single,with concrete shoulders,80,15,300,0.35,0.7775,1.2915
Single,with concrete shoulders,80,15,300,0.4,0.8594,1.1982
Single,with concrete shoulders,80,20,40,0.15,0.6816,3.6431
Single,with concrete shoulders,80,20,40,0.2,0.8457,2.1802
Single,with concrete shoulders,80,20,40,0.25,0.9998,1.4915
Single,with concrete shoulders,80,20,40,0.3,1.1463,1.1087
